Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,total_income,loan_income_ratio,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status
2,3903,1024.0,615.0,360.0,0.0,4927.0,0.12482240711897251,1,1,0,0,0,0,0
1,4204,0.0,700.0,360.0,1.0,4204.0,0.16650808749607324,1,0,0,0,0,0,1
0,1628,0.0,313.0,360.0,0.0,1628.0,0.19226044214234617,1,0,0,0,0,0,0
0,6581,2079.0,700.0,360.0,0.0,8660.0,0.08083140876664764,1,1,0,0,0,1,0
0,4514,0.0,587.0,360.0,0.0,4514.0,0.13003987591270716,1,0,1,0,0,1,1
0,4968,759.0,700.0,360.0,1.0,5727.0,0.122228042583861,1,1,0,0,1,0,1
0,3437,3469.0,700.0,360.0,1.0,6906.0,0.10136113523003748,0,1,1,0,0,0,1
0,6112,552.0,700.0,180.0,1.0,6664.0,0.10504201679096008,0,1,0,0,1,0,1
0,3981,0.0,700.0,360.0,1.0,3981.0,0.17583521723792134,1,0,1,0,0,1,1
3,4023,223.0,700.0,60.0,1.0,4246.0,0.16486104565123386,1,1,0,0,0,1,1
0,7673,2720.0,700.0,60.0,1.0,10393.0,0.06735302606876234,1,1,0,0,0,1,1
0,2764,1460.0,700.0,360.0,1.0,4224.0,0.16571969693046407,1,1,1,0,0,1,1
0,10617,5116.0,700.0,360.0,1.0,15733.0,0.044492468057936024,1,1,0,0,1,0,1
0,3503,0.0,700.0,360.0,1.0,3503.0,0.19982871818446227,0,0,0,0,0,1,1
1,6033,0.0,700.0,360.0,1.0,6033.0,0.11602850984319102,1,1,0,1,0,1,0
0,4004,11558.0,700.0,120.0,0.0,15562.0,0.04498136486023767,1,1,0,0,0,0,0
0,8261,0.0,700.0,360.0,1.0,8261.0,0.08473550416599256,1,0,0,0,1,0,1
1,2567,1175.0,472.0,180.0,1.0,3742.0,0.12613575624635603,1,1,1,0,1,0,1
2,6302,0.0,700.0,180.0,1.0,6302.0,0.11107584891921995,1,0,0,0,1,0,0
0,5192,1308.0,700.0,360.0,1.0,6500.0,0.10769230767573965,1,1,0,1,1,0,1
2,3320,0.0,393.0,300.0,0.0,3320.0,0.11837349394024896,1,0,0,0,0,1,0
0,3257,0.0,522.0,180.0,1.0,3257.0,0.16027018723970826,1,0,0,0,1,0,1
0,3557,0.0,474.0,360.0,-1.0,3557.0,0.13325836375224673,0,0,0,0,1,0,1
1,6473,423.0,700.0,60.0,1.0,6896.0,0.10150812063493211,1,1,1,0,1,0,1
0,5057,0.0,700.0,360.0,1.0,5057.0,0.1384219892943599,1,0,0,0,0,1,1
0,4982,126.0,700.0,360.0,1.0,5108.0,0.13703993732634298,1,1,1,0,1,0,1
0,4342,0.0,700.0,360.0,1.0,4342.0,0.1612160294423731,1,1,0,0,0,0,0
0,2881,0.0,631.0,360.0,1.0,2881.0,0.2190211731277261,0,0,0,0,1,0,1
0,5194,7098.0,700.0,180.0,1.0,12292.0,0.05694760819582268,1,1,1,0,0,1,1
1,10857,1170.0,700.0,360.0,1.0,12027.0,0.05820237797803256,1,1,0,1,0,0,0
1,2122,1541.0,474.0,360.0,1.0,3663.0,0.1294021293668026,1,1,1,1,1,0,1
2,19170,0.0,700.0,360.0,1.0,19170.0,0.03651538862615986,1,0,0,0,1,0,1
1,5571,1316.0,700.0,300.0,1.0,6887.0,0.10164077245511241,1,1,1,1,0,1,1
1,3541,917.0,551.0,300.0,1.0,4458.0,0.12359802599291206,1,1,0,0,0,1,1
0,9950,0.0,700.0,360.0,0.0,9950.0,0.07035175878689932,1,0,0,0,1,0,0
2,9274,6560.0,700.0,180.0,0.0,15834.0,0.04420866489552806,0,1,0,0,1,0,0
2,5329,1274.0,700.0,360.0,1.0,6603.0,0.10601241858155196,1,1,0,0,1,0,1
3,6155,1928.0,700.0,360.0,1.0,8083.0,0.08660150932987733,1,1,0,0,0,1,1
0,4162,5471.0,700.0,360.0,0.0,9633.0,0.07266687427876395,1,1,0,0,0,1,0
1,8971,0.0,700.0,360.0,1.0,8971.0,0.07802920520811178,1,1,0,0,0,0,1
0,5111,2013.0,700.0,360.0,1.0,7124.0,0.09825940481495515,1,1,0,0,1,0,1
1,4892,4434.0,700.0,360.0,1.0,9326.0,0.0750589749008086,1,1,0,1,0,1,0
0,2196,0.0,255.0,360.0,1.0,2196.0,0.11612021852635691,0,1,0,0,0,1,0
3,5773,2503.0,700.0,360.0,1.0,8276.0,0.08458192362438594,1,1,1,0,0,1,1
2,7670,2017.0,700.0,180.0,1.0,9687.0,0.07226179414965812,1,1,1,0,0,0,1
0,5505,0.0,680.0,360.0,1.0,5505.0,0.12352406900571769,0,0,0,0,0,1,0
0,7175,2187.0,700.0,120.0,-1.0,9362.0,0.07477034820820654,1,1,1,0,0,1,1
0,2097,1411.0,461.0,360.0,1.0,3508.0,0.1314139110229721,0,1,1,0,0,1,1
1,2145,0.0,307.0,12.0,1.0,2145.0,0.14312354305681887,0,0,0,0,1,0,1
0,3317,5782.0,700.0,360.0,1.0,9099.0,0.07693153092901071,0,1,0,0,0,0,1
2,7916,0.0,700.0,360.0,1.0,7916.0,0.08842849923087058,1,0,0,0,0,0,1
3,4363,0.0,598.0,180.0,1.0,4363.0,0.13706165479324736,1,0,0,0,0,0,0
2,11283,0.0,700.0,360.0,0.0,11283.0,0.06204023751998225,1,0,0,0,1,0,0
0,5398,0.0,672.0,360.0,1.0,5398.0,0.1244905520332548,1,0,0,0,0,1,1
1,1717,0.0,204.0,360.0,1.0,1717.0,0.11881188111892144,1,1,0,0,0,1,1
0,5434,17748.0,700.0,360.0,0.0,23182.0,0.030195841599939786,1,1,0,0,0,0,0
2,8294,2765.0,700.0,180.0,1.0,11059.0,0.06329686227838892,1,1,0,0,0,1,1
2,3105,931.0,629.0,360.0,-1.0,4036.0,0.1558473735986503,1,1,0,0,0,1,1
0,3259,2762.0,700.0,360.0,1.0,6021.0,0.11625975749605384,1,1,0,0,0,1,1
0,7539,0.0,700.0,360.0,0.0,7539.0,0.0928505106654927,0,1,0,0,1,0,1
0,7438,4718.0,700.0,360.0,1.0,12156.0,0.05758473181494038,1,1,0,0,0,0,1
1,7101,1000.0,700.0,84.0,1.0,8101.0,0.08640908528744487,1,1,0,1,0,1,0
1,3836,4088.0,700.0,360.0,1.0,7924.0,0.08833922260369267,1,1,0,0,1,0,1
2,16796,758.0,700.0,360.0,1.0,17554.0,0.039876951119979666,0,1,0,0,0,1,1
0,6174,1299.0,700.0,360.0,-1.0,7473.0,0.09367054729109185,1,1,0,0,0,1,1
1,3784,1447.0,660.0,360.0,1.0,5231.0,0.12617090420069377,1,1,1,0,1,0,1
0,5939,1217.0,700.0,180.0,1.0,7156.0,0.0978200111657602,0,1,0,0,1,0,0
0,4116,5308.0,700.0,360.0,-1.0,9424.0,0.07427843802267843,1,1,0,0,1,0,0
0,2821,203.0,473.0,360.0,1.0,3024.0,0.15641534386361927,1,1,0,1,0,0,0
0,9502,1792.0,700.0,84.0,0.0,11294.0,0.061979812284223494,1,1,0,0,1,0,0
3,7827,0.0,700.0,360.0,0.0,7827.0,0.08943401046512917,1,0,0,1,1,0,1
1,5265,0.0,700.0,360.0,1.0,5265.0,0.1329534662615473,1,0,1,0,0,1,1
3,3270,0.0,416.0,180.0,1.0,3270.0,0.1272171253433587,1,1,0,0,1,0,1
1,6493,746.0,700.0,360.0,1.0,7239.0,0.09669843899755512,1,1,0,0,0,1,1
0,2465,617.0,550.0,360.0,1.0,3082.0,0.17845554828732788,1,1,0,0,1,0,1
2,5836,0.0,700.0,360.0,1.0,5836.0,0.11994516790268245,1,0,0,0,0,1,1
1,4895,0.0,700.0,360.0,1.0,4895.0,0.14300306432216484,1,0,0,0,0,1,1
0,7452,0.0,700.0,300.0,1.0,7452.0,0.09393451421176402,0,0,1,0,1,0,1
0,4579,0.0,700.0,360.0,1.0,4579.0,0.15287180603780917,1,0,0,0,0,0,1
2,3534,0.0,508.0,360.0,1.0,3534.0,0.14374646289084708,1,0,0,0,1,0,1
0,6511,1548.0,700.0,360.0,1.0,8059.0,0.08685941182691904,0,1,0,0,0,1,1
0,24709,894.0,700.0,360.0,1.0,25603.0,0.027340546028694273,1,1,0,0,1,0,1
0,7152,0.0,700.0,360.0,1.0,7152.0,0.09787472034425689,0,0,0,0,1,0,1
0,3428,2020.0,619.0,360.0,1.0,5448.0,0.11361967692481283,0,1,0,0,0,1,1
0,9719,1686.0,700.0,360.0,1.0,11405.0,0.06137658920987491,1,1,0,0,1,0,1
0,14296,0.0,700.0,360.0,1.0,14296.0,0.04896474537989894,1,1,0,0,0,1,1
2,10146,778.0,700.0,360.0,0.0,10924.0,0.0640790919018602,1,1,0,0,0,1,1
0,9577,7501.0,700.0,360.0,1.0,17078.0,0.04098840613414988,1,1,0,0,0,1,1
0,5417,1190.0,700.0,360.0,1.0,6607.0,0.105948236702596,0,1,0,0,0,1,1
3,3402,1822.0,700.0,360.0,1.0,5224.0,0.13399693718721345,1,1,0,0,0,0,1
1,5370,9388.0,700.0,360.0,1.0,14758.0,0.047431901338431226,0,1,0,0,0,0,1
0,4485,578.0,700.0,360.0,1.0,5063.0,0.13825794980480782,0,1,0,0,0,1,1
0,3611,2594.0,700.0,240.0,1.0,6205.0,0.11281224816876514,1,1,0,0,1,0,0
0,2900,9044.0,700.0,360.0,1.0,11944.0,0.05860683187720974,1,1,0,0,0,1,1
0,5300,0.0,700.0,360.0,1.0,5300.0,0.1320754716731933,1,0,0,0,0,1,1
0,13327,0.0,700.0,360.0,1.0,13327.0,0.05252494934700045,1,0,1,0,1,0,1
0,3657,4101.0,700.0,360.0,1.0,7758.0,0.09022944056583791,1,1,0,1,1,0,1
0,11589,1909.0,700.0,360.0,1.0,13498.0,0.051859534742046264,1,1,1,0,0,1,1
0,8318,199.0,700.0,360.0,1.0,8517.0,0.08218856403872389,1,1,0,0,0,1,1
2,3517,0.0,447.0,360.0,1.0,3517.0,0.12709695759820958,1,0,0,1,0,1,0
2,1865,2503.0,578.0,360.0,1.0,4368.0,0.1323260072957129,1,1,0,0,0,1,0
1,9603,1736.0,700.0,120.0,1.0,11339.0,0.06173383895742712,1,1,0,0,1,0,1
2,9457,0.0,700.0,180.0,1.0,9457.0,0.07401924499587403,1,0,0,0,0,0,1
1,5078,915.0,700.0,360.0,1.0,5993.0,0.11680293674006291,1,1,0,0,0,0,0
3,6256,0.0,700.0,120.0,1.0,6256.0,0.11189258310231895,1,1,0,0,1,0,1
0,8872,2780.0,700.0,240.0,1.0,11652.0,0.060075523510120535,1,1,0,0,0,0,1
2,3610,2818.0,700.0,360.0,1.0,6428.0,0.10889856874472642,1,1,0,0,0,1,1
0,5179,10506.0,700.0,360.0,0.0,15685.0,0.044628626073023356,1,1,1,0,1,0,0
3,1228,5412.0,700.0,360.0,1.0,6640.0,0.10542168673111119,1,1,1,1,0,0,1
0,7606,3029.0,700.0,36.0,1.0,10635.0,0.06582040431915182,1,1,1,1,0,1,1
1,3410,2481.0,700.0,180.0,-1.0,5891.0,0.11882532674947796,1,1,0,0,0,1,0
0,2905,0.0,413.0,360.0,1.0,2905.0,0.1421686746498559,1,0,1,0,1,0,1
0,5950,0.0,700.0,360.0,1.0,5950.0,0.1176470588037568,1,0,0,0,0,1,1
0,3275,2963.0,700.0,360.0,1.0,6238.0,0.11221545365305939,1,1,1,0,1,0,0
2,6640,3600.0,700.0,360.0,1.0,10240.0,0.06835937499332428,1,1,0,1,0,1,1
3,2783,798.0,700.0,36.0,0.0,3581.0,0.1954761239331259,1,1,0,0,0,0,0
1,4444,7786.0,700.0,360.0,1.0,12230.0,0.057236304165393596,1,1,0,0,1,0,1
1,3410,837.0,622.0,360.0,-1.0,4247.0,0.14645632207523984,1,1,0,0,0,1,1
0,6421,0.0,700.0,360.0,0.0,6421.0,0.1090172870099646,0,0,0,0,0,1,0
0,4916,418.0,700.0,360.0,-1.0,5334.0,0.1312335957759217,1,1,0,0,1,0,0
0,6257,841.0,700.0,360.0,1.0,7098.0,0.09861932937466619,1,1,1,0,0,0,1
0,2464,0.0,289.0,360.0,1.0,2464.0,0.11728896099136,1,0,0,0,0,1,1
2,8641,2290.0,700.0,36.0,1.0,10931.0,0.06403805689652932,1,1,0,1,1,0,0
2,7791,0.0,700.0,360.0,1.0,7791.0,0.08984725964704822,1,0,0,0,0,0,1
0,3466,0.0,700.0,360.0,1.0,3466.0,0.20196191569476,0,0,1,0,0,1,0
2,8605,3064.0,700.0,360.0,0.0,11669.0,0.05998800239437929,0,1,0,0,0,1,1
0,6136,0.0,700.0,360.0,-1.0,6136.0,0.1140808344012254,1,0,0,0,1,0,1
0,3171,1307.0,700.0,360.0,1.0,4478.0,0.15631978558367132,1,1,0,0,0,0,1
0,21907,0.0,700.0,120.0,1.0,21907.0,0.0319532569483748,1,0,0,0,0,1,1
0,6034,0.0,700.0,360.0,1.0,6034.0,0.11600928072323345,1,1,1,0,0,0,1
0,3950,1670.0,700.0,360.0,0.0,5620.0,0.1245551601201859,1,1,0,0,0,1,1
0,4685,0.0,641.0,360.0,1.0,4685.0,0.13681963711060413,1,0,0,0,0,0,1
1,7825,2544.0,700.0,180.0,1.0,10369.0,0.06750892081516936,1,1,1,0,1,0,1
2,4759,0.0,593.0,360.0,1.0,4759.0,0.12460600963971295,0,0,0,0,1,0,1
0,4789,0.0,700.0,360.0,1.0,4789.0,0.14616830232905234,1,0,0,1,1,0,1
0,19532,0.0,700.0,360.0,1.0,19532.0,0.035838623795011335,0,0,0,0,0,0,0
3,4923,0.0,700.0,240.0,1.0,4923.0,0.14218972168551905,1,0,0,0,1,0,1
1,11343,23346.0,700.0,360.0,0.0,34689.0,0.0201793075608931,0,1,0,0,1,0,0
2,6444,1498.0,700.0,360.0,1.0,7942.0,0.08813900779549999,1,1,0,0,0,0,1
0,3138,0.0,532.0,360.0,0.0,3138.0,0.16953473544629233,1,0,0,0,0,0,0
2,5027,1016.0,700.0,360.0,1.0,6043.0,0.1158365050279933,1,1,0,0,0,0,1
2,4434,2219.0,700.0,360.0,1.0,6653.0,0.10521569215313156,1,1,0,0,0,0,0
2,2011,3953.0,700.0,300.0,1.0,5964.0,0.11737089199909945,1,1,1,0,0,1,1
2,7578,926.0,700.0,360.0,1.0,8504.0,0.08231420507028289,1,1,0,0,1,0,1
1,6500,2426.0,700.0,120.0,1.0,8926.0,0.07842258569589708,1,1,0,0,0,0,0
0,4687,3328.0,700.0,60.0,0.0,8015.0,0.08733624453058811,1,1,0,0,0,0,0
0,7007,1330.0,700.0,240.0,1.0,8337.0,0.08396305624517655,0,1,0,0,1,0,1
0,6981,0.0,700.0,360.0,1.0,6981.0,0.10027216729690987,1,0,0,0,0,0,1
0,3628,0.0,529.0,360.0,1.0,3628.0,0.14581036379663442,1,0,1,0,1,0,1
0,7686,2491.0,700.0,240.0,1.0,10177.0,0.06878254887798146,1,1,1,1,0,1,1
0,7025,5522.0,700.0,360.0,0.0,12547.0,0.05579022873549133,1,1,0,0,1,0,1
0,6536,5359.0,700.0,360.0,1.0,11895.0,0.058848255564619735,1,1,0,0,0,0,1
0,2497,13128.0,700.0,360.0,0.0,15625.0,0.0447999999971328,1,1,0,0,1,0,0
0,6030,5011.0,700.0,180.0,1.0,11041.0,0.06340005433716148,1,1,0,0,0,1,1
3,8321,5312.0,700.0,360.0,0.0,13633.0,0.051345998675908014,1,1,1,0,0,1,0
0,3678,2284.0,700.0,240.0,1.0,5962.0,0.11741026499204792,0,1,0,0,1,0,0
0,3615,0.0,695.0,360.0,1.0,3615.0,0.19225449510587705,1,0,0,0,0,0,1
0,5859,319.0,700.0,360.0,1.0,6178.0,0.1133052767702646,1,1,0,0,0,1,1
3,3932,3876.0,700.0,360.0,1.0,7808.0,0.08965163933278027,1,1,1,0,1,0,1
0,2237,0.0,373.0,360.0,1.0,2237.0,0.16674117113690606,1,1,1,0,0,1,0
2,10202,4074.0,700.0,360.0,1.0,14276.0,0.04903334266958298,1,1,0,0,0,1,0
1,14296,1448.0,700.0,360.0,1.0,15744.0,0.044461382110997115,1,1,1,0,0,1,0
0,4156,2537.0,700.0,360.0,1.0,6693.0,0.10458688180119724,1,1,0,0,0,0,1
0,9945,1950.0,700.0,360.0,1.0,11895.0,0.058848255564619735,1,1,1,0,0,0,1
2,3464,0.0,605.0,360.0,1.0,3464.0,0.17465357962625475,1,1,0,0,0,1,1
0,2896,0.0,419.0,240.0,1.0,2896.0,0.14468232039202958,1,0,0,0,0,1,1
1,4191,4311.0,700.0,360.0,1.0,8502.0,0.08233356856241665,1,1,1,0,1,0,0
0,3138,0.0,505.0,360.0,1.0,3138.0,0.16093052894807824,0,1,0,0,0,0,1
2,1831,871.0,336.0,360.0,1.0,2702.0,0.12435233156019529,0,1,0,0,0,0,1
0,2593,1097.0,548.0,360.0,1.0,3690.0,0.14850948505460448,1,1,0,0,1,0,1
2,2890,3322.0,700.0,360.0,1.0,6212.0,0.11268512554528572,1,1,0,0,0,0,1
0,3311,2339.0,700.0,360.0,1.0,5650.0,0.1238938052878064,1,1,0,0,1,0,1
0,4369,3846.0,700.0,36.0,-1.0,8215.0,0.0852099817303457,1,1,0,0,0,1,1
0,6866,891.0,700.0,180.0,1.0,7757.0,0.09024107256797201,1,1,0,1,0,1,1
0,8454,0.0,700.0,36.0,-1.0,8454.0,0.08280104091757735,1,0,0,0,1,0,1
3,3946,9176.0,700.0,180.0,1.0,13122.0,0.053345526592490054,1,1,1,1,0,1,1
0,1958,3283.0,644.0,360.0,1.0,5241.0,0.12287731346634662,1,1,0,0,0,0,1
0,4080,3982.0,700.0,360.0,1.0,8062.0,0.08682709004132633,1,1,0,0,0,1,1
3,6450,0.0,700.0,360.0,1.0,6450.0,0.10852713176611982,1,0,0,1,1,0,1
0,3346,0.0,656.0,360.0,1.0,3346.0,0.1960549909754767,1,0,0,0,0,1,1
1,3697,0.0,700.0,60.0,1.0,3697.0,0.189342710254438,1,0,1,0,1,0,1
1,11342,0.0,700.0,360.0,0.0,11342.0,0.061717510133863736,1,0,0,1,0,1,0
0,6816,0.0,700.0,360.0,1.0,6816.0,0.1026995305013645,1,1,0,0,0,1,1
0,6165,0.0,700.0,180.0,1.0,6165.0,0.11354420111702446,1,0,0,1,0,0,1
0,5393,0.0,700.0,360.0,1.0,5393.0,0.12979788612464344,1,0,1,0,1,0,0
2,6044,2325.0,700.0,360.0,-1.0,8369.0,0.0836420121778418,0,1,0,0,0,0,1
0,5397,904.0,700.0,360.0,1.0,6301.0,0.11109347720820607,1,1,1,0,0,1,1
3,3218,406.0,459.0,60.0,1.0,3624.0,0.12665562910412373,1,1,1,0,1,0,1
0,2819,877.0,700.0,360.0,1.0,3696.0,0.18939393934269644,1,1,0,0,0,1,0
0,4335,0.0,499.0,240.0,1.0,4335.0,0.11510957321450759,0,0,1,0,1,0,1
0,6690,1086.0,700.0,360.0,0.0,7776.0,0.09002057612011052,1,1,1,0,1,0,0
0,3178,0.0,362.0,12.0,1.0,3178.0,0.11390811827756196,0,0,1,1,0,0,0
3,4559,1766.0,700.0,84.0,1.0,6325.0,0.11067193674139574,1,1,0,0,0,0,0
2,3164,1906.0,700.0,180.0,1.0,5070.0,0.13806706111675204,1,1,1,0,1,0,1
0,2088,8610.0,700.0,360.0,1.0,10698.0,0.06543279116980437,1,1,0,0,1,0,1
1,4988,0.0,700.0,360.0,1.0,4988.0,0.14033680831188114,1,0,0,0,0,1,0
2,5316,4363.0,700.0,360.0,1.0,9679.0,0.07232152081079435,1,1,0,1,0,1,1
0,1990,4097.0,700.0,360.0,1.0,6087.0,0.11499917855840329,1,1,0,0,0,1,1
2,2435,0.0,512.0,360.0,1.0,2435.0,0.21026694036539345,1,0,0,0,0,0,0
2,3464,1433.0,700.0,360.0,1.0,4897.0,0.14294465996672562,1,1,0,0,0,1,0
0,7094,11840.0,700.0,360.0,1.0,18934.0,0.03697052920476547,1,1,1,0,1,0,1
0,11200,581.0,700.0,360.0,1.0,11781.0,0.05941770647148648,1,1,0,0,0,1,0
1,13167,7719.0,700.0,240.0,0.0,20886.0,0.03351527338726825,1,1,0,0,0,0,1
0,13762,0.0,700.0,360.0,1.0,13762.0,0.05086469989457457,1,1,0,1,0,1,1
0,2941,6030.0,700.0,360.0,1.0,8971.0,0.07802920520811178,1,1,0,0,0,0,1
0,7838,0.0,700.0,360.0,1.0,7838.0,0.08930849705418366,1,1,0,1,0,1,1
1,2647,0.0,458.0,12.0,1.0,2647.0,0.17302606718057195,1,1,0,0,1,0,1
2,19582,686.0,700.0,360.0,1.0,20268.0,0.03453720149819729,1,1,0,0,0,0,1
0,4959,0.0,700.0,360.0,1.0,4959.0,0.14115749140125883,1,0,1,0,0,1,1
1,2652,1341.0,700.0,360.0,1.0,3993.0,0.17530678683313128,1,1,0,0,0,1,1
0,2164,843.0,631.0,360.0,1.0,3007.0,0.2098436979681265,1,1,1,0,0,0,0
0,3087,8411.0,700.0,180.0,1.0,11498.0,0.0608801530648043,1,1,0,1,0,1,1
2,1748,1032.0,315.0,360.0,1.0,2780.0,0.11330935247722686,1,1,0,0,0,1,0
2,5117,0.0,700.0,12.0,1.0,5117.0,0.13679890558202093,1,1,0,1,1,0,1
0,8873,8760.0,700.0,360.0,-1.0,17633.0,0.03969829297115078,1,1,0,0,0,0,1
0,4968,660.0,700.0,360.0,1.0,5628.0,0.12437810943063643,1,1,1,0,0,0,1
0,23312,0.0,700.0,360.0,0.0,23312.0,0.030027453670640553,1,0,0,0,0,1,0
1,2990,0.0,635.0,360.0,-1.0,2990.0,0.21237458186877106,1,0,0,1,0,1,1
3,5986,810.0,700.0,360.0,0.0,6796.0,0.10300176572939938,1,1,1,0,0,1,0
0,7314,1442.0,700.0,360.0,1.0,8756.0,0.07994518043856268,1,1,0,0,0,1,1
2,4469,0.0,673.0,360.0,0.0,4469.0,0.1505929737859492,1,0,0,1,1,0,1
2,17316,854.0,700.0,360.0,1.0,18170.0,0.03852504127470968,1,1,0,0,0,0,1
2,6435,0.0,700.0,360.0,1.0,6435.0,0.10878010876320433,1,0,0,0,1,0,1
